directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,test_to_log,cursor_visibility,rotation,trial_type,target_angle,example_object_movement_filename
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,114,2,82,499.9492,503.5048,A,True,30,rotated_1_1,140,example_object_movement_T114.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,115,2,83,503.5048,507.805,A,True,30,rotated_1_1,140,example_object_movement_T115.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,116,2,84,507.805,511.8274,A,True,30,rotated_1_1,130,example_object_movement_T116.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,117,2,85,511.8274,515.7256,A,True,30,rotated_1_1,130,example_object_movement_T117.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,118,2,86,515.7256,532.1496,A,True,30,rotated_1_1,140,example_object_movement_T118.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,119,2,87,532.1496,541.1499,A,True,30,rotated_1_1,140,example_object_movement_T119.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,120,2,88,541.1499,544.4277,A,True,30,rotated_1_1,130,example_object_movement_T120.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,121,2,89,544.4277,549.1053,A,True,30,rotated_1_1,130,example_object_movement_T121.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,122,2,90,549.1053,553.2833,A,True,30,rotated_1_1,140,example_object_movement_T122.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,123,2,91,553.2833,558.7612,A,True,30,rotated_1_1,140,example_object_movement_T123.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,124,2,92,558.7612,562.3278,A,True,30,rotated_1_1,130,example_object_movement_T124.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,125,2,93,562.3278,570.6279,A,True,30,rotated_1_1,130,example_object_movement_T125.csv
